Provinsi/Kabupaten/Kota,,,
,Indeks Pembangunan Gender (IPG),,
Bangka Tengah,91.77,91.91,91.96
Bangka Selatan,84.94,84.81,85.25
Belitung Timur,86.95,87.3,87.69
Kota Pangkal Pinang,93.35,93.16,93.82
KEPULAUAN RIAU,93.5,93.96,94.2
Karimun,91.12,91.33,91.61
Bintan,93.78,93.93,94.05
Natuna,91.86,92.07,91.82
Lingga,90.48,90.75,91.12
Kepulauan Anambas,91.14,91.25,91.58
Kota Batam,94.75,94.95,95.72
Kota Tanjung Pinang,97.14,96.96,97.02
DKI JAKARTA,94.93,95.24,95.56
Kep. Seribu,93.69,93.6,93.62
Kota Jakarta Selatan,96.48,97.16,97.3
Kota Jakarta Timur,95.92,95.98,95.9
Kota Jakarta Pusat,96.41,96.28,96.24
Kota Jakarta Barat,95.39,95.39,95.66
Kota Jakarta Utara,93.84,94.03,94.43
JAWA BARAT,89.8,90.23,90.39
Bogor,89.95,90.2,90.17
Sukabumi,87.64,88.3,88.59
Cianjur,84.9,85.17,85.45
Bandung,93.97,94.03,94.23
Garut,82.78,83.37,83.5
Tasikmalaya,86.64,87.01,87.1
Ciamis,87.04,87.25,87.48
Kuningan,87.17,87.31,87.55
Cirebon,84.01,84.28,84.74
Majalengka,86.69,87.06,87.16
Sumedang,95.09,95.41,95.55
Indramayu,88.17,88.81,89.03
Subang,90.95,91.29,91.55
Purwakarta,86.94,87.08,87.18
Karawang,90.5,91.07,91.23
Bekasi,89.37,89.53,89.72
Bandung Barat,79.69,80.37,81.02
Pangandaran,90.2,90.04,90.38
Kota Bogor,90.97,91.11,91.26
Kota Sukabumi,91.83,92.35,92.59
Kota Bandung,94.81,94.71,94.87
Kota Cirebon,94.91,95.55,95.83
Kota Bekasi,93.49,93.52,93.62
Kota Depok,93.47,93.44,93.7
Kota Cimahi,91.97,92,92.28
Kota Tasikmalaya,91.87,92.13,92.22
Kota Banjar,87.67,87.85,88.12
JAWA TENGAH,92.83,92.87,93
Cilacap,87.02,87.34,87.41
Banyumas,89.15,89.14,89.27
Purbalingga,93.21,93.51,93.74
Banjarnegara,95.19,95.09,95.19
Kebumen,93.26,93.37,93.41
Purworejo,95.59,95.34,95.11
Wonosobo,92.65,92.95,93.02
Magelang,92.21,92.49,92.56
Boyolali,94.37,94.7,94.79
Klaten,96.11,95.79,95.9
Sukoharjo,96.96,97.37,98.08
Wonogiri,91.73,92.11,92.38
Karanganyar,97.03,97.29,97.16
Sragen,92.24,92.49,92.62
Grobogan,86.18,86.23,86.45
Blora,84.92,85.68,85.89
Rembang,87.6,87.68,88.03
Pati,92.42,92.49,92.55
Kudus,93.56,93.83,94.01
Jepara,91.44,91.53,91.71
Demak,91.3,91.17,91.25
Semarang,96.6,96.64,96.74
Temanggung,95.99,96.19,96.27
Kendal,93.79,94.29,94.34
Batang,91.88,92.48,92.68
Pekalongan,92.72,92.83,92.96
Pemalang,86.72,87.14,87.37
Tegal,88.22,88.64,88.85
Brebes,87.19,87.13,87.61
Kota Magelang,95.91,96.43,96.73
Kota Surakarta,96.84,97.15,97.54
Kota Salatiga,95.44,95.45,95.59
Kota Semarang,95.93,95.96,96.37
Kota Pekalongan,95.32,95.65,95.56
Kota Tegal,93.39,93.64,93.95
D I YOGYAKARTA,94.99,94.93,95.1
Kulon Progo,95.54,95.27,95.29
Bantul,95.36,95.54,95.67
Gunung Kidul,85.82,85.93,86.67
Sleman,96.36,96.4,96.52
Kota Yogyakarta,98.48,98.47,98.65
JAWA TIMUR,92.08,92.15,92.19
Pacitan,85.65,86.16,86.46
Ponorogo,93.96,94.4,94.6
Trenggalek,92.41,92.57,92.68
Tulungagung,95.63,95.45,95.56
Blitar,93.22,93.4,93.65
Kediri,92.85,93.25,93.41
Malang,88.35,88.6,88.91
Lumajang,88.77,89.06,89.43
Jember,85.31,85.52,85.79
Banyuwangi,87.26,87.5,87.57
Bondowoso,91.1,91.17,91.22
Situbondo,87.32,87.59,87.73
Probolinggo,86.02,86.34,86.63
Pasuruan,91.02,91.08,91.17
Sidoarjo,94.68,94.72,94.9
Mojokerto,91.37,91.63,91.84
Jombang,90.51,90.65,90.83
Nganjuk,93.89,94.08,94.18
Madiun,92.14,92.31,92.55
Magetan,93.88,94.07,94.37
Ngawi,92.53,92.89,93.13
Bojonegoro,90.63,90.87,91.44
Tuban,88.39,88.52,88.81
Lamongan,89.5,89.84,90.11
Gresik,90.78,91.01,91.25
Bangkalan,87.35,87.56,87.81
Sampang,86.79,86.97,87.16
Pamekasan,86.83,86.97,87.22
Sumenep,81.88,82.29,82.67
Kota Kediri,94.53,94.58,94.78
Kota Blitar,97.37,97.49,97.49
Kota Malang,95.54,95.67,95.9
Kota Probolinggo,96.24,96.48,96.58
Kota Pasuruan,96.74,96.81,96.99
Kota Mojokerto,93.63,93.89,94.02
Kota Madiun,94.57,95.18,95.26
Kota Surabaya,94.21,94.36,94.53
Kota Batu,90.1,90.54,90.86
BANTEN,92.18,92.48,92.52
Pandeglang,86.93,87.09,87.23
Lebak,80.2,80.75,81.22
Tangerang,91.24,91.67,91.69
Serang,92.32,92.49,92.54
Kota Tangerang,94.73,94.89,94.95
Kota Cilegon,87.57,88.05,88.29
